S. No.,Questions,Type
224," h. Please estimate your gross CDR capacity over the coming years (your total capacity, not just for this
 proposal)
(Year, Estimated gross CDR capacity (tonnes))",CET
225," i. List and describe at least three key milestones for this project (including prior to when CDR starts), that
 are needed to achieve the amount of CDR over the proposed timeline.
(S,no, milestone description, Target completion date)",CET
226," j. What is your IP strategy? Please link to relevant patents, pending or granted, that are available publicly
 (if applicable).",CET
227, k. How are you going to finance this project?,CET
228," l. Do you have other CDR buyers for this project? If so, please describe the anticipated purchase volume
 and level of commitment (e.g., contract signed, in active discussions, to be approached, etc.)",CET
229," m. What other revenue streams are you expecting from this project (if applicable)? Include the source of
 revenue and anticipated amount. Examples could include tax credits and co-products.",CET
230," n. Identify risks for this project and how you will mitigate them. Include technical, project execution,
 ecosystem, financial, and any other risks.
(Risk, Mitigation strategy)",CET
231,Durability,CET
232," a. Describe how your approach results in permanent CDR (> 1,000 years). Include citations to
 scientific/technical literature supporting your argument. What are the upper and lower bounds on your
 durability estimate?",CET
233," b. What durability risks does your project face? Are there physical risks (e.g. leakage, decomposition and
 decay, damage, etc.)? Are there socioeconomic risks (e.g. mismanagement of storage, decision to
 consume or combust derived products, etc.)? What fundamental uncertainties exist about the underlying
 technological or biological process?",CET
234,Gross Removal & Life Cycle Analysis (LCA),CET
235," a. How much GROSS CDR will occur over this project’s timeline? All tonnage should be described inmetric
 tonnesof CO2
 here and throughout the application.Tell us how you calculated this value (i.e., show your
 work). If you have uncertainties in the amount of gross CDR, tell us where they come from.",CET
236,Gross tonnes of CDR over project lifetime,CET
237,Describe how you calculated that value,CET
238," b. How many tonnes of CO2
 have you captured and storedto date? If relevant to your technology (e.g.,
 DAC), please list captured and stored tons separately",CET
239,"c. If applicable, list any avoided emissions that result from your project. For carbon mineralization in
 concrete production, for example, removal would be the CO₂ utilized in concrete production and
 avoided emissions would be the emissions reductions associated with traditional concrete production.
 Do not include this number in your gross or net CDR calculations; it’s just to help us understand potential
 co-benefits of your approach.",CET
240," d. How many GROSS EMISSIONS will occur over the project lifetime? Divide that value by the gross CDR to
 get the emissions / removal ratio. Subtract it from the gross CDR to get the net CDR for this project.",CET
241,"Gross project emissions over the project timeline (should correspond to the boundary conditions
 described below this table)",CET
242,"Emissions / removal ratio (gross project emissions / gross CDR–must be less than
 one for net-negative CDR systems)",CET
243,Net CDR over the project timeline (gross CDR - gross project emissions),CET
244," e. Provide a process flow diagram (PFD) for your CDR solution, visualizing the project emissions numbers
 above. This diagram provides the basis for your life cycle analysis (LCA). Some notes:
 ● The LCA scope should be cradle-to-grave
 ● For each step in the PFD, include all Scope 1-3 greenhouse gas emissions on a CO2 
equivalent
 basis
 ● Do not include CDR claimed by another entity (no double counting)
 ● For assistance, please:
 ○ Review the diagram below from the CDR Primer, Charm’s application from 2020 for a
 simple example, or CarbonCure’s for a more complex example
 ○ See University of Michigan’s Global CO2 
Initiative resource guide
 ● If you’ve had a third-party LCA performed, please link to it.",CET
245," f. Please articulate and justify the boundary conditions you assumed above: why do your calculations and
 diagram include or exclude different components of your system?",CET
246,"g. Please justify all numbers used to assign emissions to each process step depicted in your diagram
 above.  Are they solely modeled or have you measured them directly? Have they been independently
 measured? Your answers can include references to peer-reviewed publications
(Process Step, CO2 (eq) emissions over the project lifetime (metric tonnes), Describe how you calculated 
that number. Include references where appropriate.)",CET
247,"Measurement, Reporting, and Verification (MRV)
 Above section captures a project’s lifecycle emissions, which is one of a number of MRV considerations. In this
 section, we are looking for additional details on your MRV approach, with a particular focus on the ongoing
 quantification of carbon removal outcomes and associated uncertainties",CET
248," a. Describe your ongoing approach to quantifying the CDR of your project, including methodology, what
 data is measured vs modeled, monitoring frequency, and key assumptions. If you plan to use an existing
 protocol, please link to it. Please seeCharm’s bio-oilsequestration protocolfor reference, though note
 we do not expect proposals to have a protocol at this depth at the prepurchase stage.",CET
249," b. How will you quantify the durability of the carbon sequestered by your project discussed in 2(b)? If direct
 measurement is difficult or impossible, how will you rely on models or assumptions, and how will you validate 
those assumptions? (E.g. monitoring of injection sites, tracking biomass state and location,
 estimating decay rates, etc.)",CET
250," c. This tool diagrams components that we anticipate shouldbe measured or modeled to quantify CDR and
 durability outcomes, along with high-level characterizations of the uncertainty type and magnitude for
 each element. We are asking the net CDR volume to be discounted in order to account for uncertainty
 and reflect the actual net CDR as accurately as possible. Please complete the table below. Some notes:
 ● In the first column, list the quantification components from theQuantification Toolrelevant to your
 project (e.g., risk of secondary mineral formation for enhanced weathering, uncertainty in the
 mass of kelp grown, variability in air-sea gas exchange efficiency for ocean alkalinity
 enhancement, etc.).
 ● In the second column, please discuss the magnitude of this uncertainty related to your project
 and what percentage of the net CDR should be discounted to appropriately reflect these
 uncertainties. Your estimates should be based on field measurements, modeling, or scientific
 literature. The magnitude for some of these factors relies on your operational choices (i.e.,
 methodology, deployment site), while others stem from broader field questions, and in some
 cases, may not be well constrained.We are not lookingfor precise figures at this stage, but
 rather to understand how your project is thinking about these questions.
 ● Seethis postfor details on Frontier’s MRV approachand a sample uncertainty discount
 calculation and thisSupplier Measurement & VerificationQ&A documentfor additional guidance.",CET
251,"Quantification component( Include each component from the Quantification Toolrelevant to your project),
 Discuss the uncertainty impact related to your project(Estimate the impact of this component as a percentage 
of net CDR. Include assumptions and scientific references if possible)",CET
252," d. Based on your responses to 4(c), what percentage of the net CDR do you think should be discounted for
 each of these factors above and in aggregate to appropriately reflect these uncertainties?",CET
253," e. Will this project help advance quantification approaches or reduce uncertainty for this CDR pathway? If
 yes, describe what new tools, models or approaches you are developing, what new data will be
 generated, etc.?",CET
254," f. Describe your intended plan and partners for verifying delivery and registering credits, if known. If a
 protocol doesn’t yet exist for your technology, who will develop it? Will there be a third party auditor to
 verify delivery against that protocol or the protocol discussed in 8(a)?",CET
255,Cost,CET
256," We are open to purchasing high-cost CDR today with the expectation the cost per tonne will rapidly decline over
 time. The questions below are meant to capture some of the key numbers and assumptions that you are entering
 into the separate techno-economic analysis (TEA) spreadsheet (see step 4 in Applicant Instructions). There are no
 right or wrong answers, but we would prefer high and conservative estimates to low and optimistic. If we select
 you for purchase, we’ll work with you to understand your milestones and their verification in more depth",CET
257," a. What is the levelized price per net metric tonne of CO₂ removed for the project you’re proposing Frontier
 purchase from? This does not need to exactly match the cost calculated for “This Project” in the TEA
 spreadsheet (e.g., it’s expected to include a margin), but we will be using the data in that spreadsheet to
 consider your offer. Please specify whether the price per tonne below includes the uncertainty discount in
 the net removal volume proposed in response to question 8(d)",CET
258," b. Please break out the components of this levelized price per metric tonne.
(Component, Levelized price of net CDR for this project ($/tonne))",CET
259," c. Describe the parameters that have the greatest sensitivity to cost (e.g., manufacturing efficiencies,
 material cost, material lifetime, etc.). For each parameter you identify, tell us what the current value is, and
 what value you are assuming for your NOAK commercial-scale TEA. If this includes parameters you
 already identified in 1(c), please repeat them here (if applicable). Broadly, what would need to be true for
 your approach to achieve a cost of $100/tonne?",CET
260,"(Parameter with high impact on cost, Current value (units), Value assumed in NOAK TEA (units),
 Why is it feasible to reach the NOAK value?)",CET
261,d. What aspects of your cost analysis are you least confident in?,CET
262,"e. How do the CDR costs calculated in the TEA spreadsheet compare with your own models? If there are
 large differences, please describe why that might be (e.g., you’re assuming different learning rates,
 different multipliers to get from Bare Erected Cost to Total Overnight Cost, favorable contract terms, etc.)",CET
263," f. What is one thing that doesn’t exist today that would make it easier for you to commercialize your
 technology? (e.g., improved sensing technologies, increased access to X, etc.)",CET
264,Public Engagement,CET
265," In alignment with Frontier’s Safety & Legality criteria, Frontier requires projects to consider and address potential
 social, political, and ecosystem risks associated with their deployments. Projects with effective public
 engagement tend to:
 ● Identify key stakeholders in the area they’ll be deploying
 ● Have mechanisms in place to engage and gather opinions from those stakeholders, take those opinions
 seriously, and develop active partnerships, iterating the project as necessary
 The following questions help us gain an understanding of your public engagement strategy and how your project
 is working to follow best practices for responsible CDR project development. We recognize that, for early
 projects, this work may be quite nascent, but we are looking to understand your early approach.",CET
266," a. Who have you identified as relevant external stakeholders, where are they located, and what process did
 you use to identify them? Please include discussion of the communities potentially engaging in or
 impacted by your project’s deployment.",CET
267," b. If applicable, how have you engaged with these stakeholders and communities? Has this work been
 performed in-house, with external consultants, or with independent advisors? If you do have any reports
 on public engagement that your team has prepared, please provide.",CET
268,"c. If applicable, what have you learned from these engagements? What modifications have you already
 made to your project based on this feedback, if any?",CET
269," d. Going forward, do you have changes to your processes for (a) and (b) planned that you have not yet
 implemented? How do you envision your public engagement strategy at the megaton or gigaton scale?",CET
270,Environmental Justice,CET
271," As a part of Frontier’s Safety & Legality criteria, Frontier seeks projects that proactively integrate environmental
 and social justice considerations into their deployment strategy and decision-making on an ongoing basis.",CET
272," a. What are the potential environmental justice considerations, if any, that you have identified associated
 with your project? Who are the key stakeholders? Consider supply chain impacts, worker compensation
 and safety, plant siting, distribution of impacts, restorative justice/activities, job creation in marginalized
 communities, etc",CET
273," b. How do you intend to address any identified environmental justice concerns and / or take advantage of
 opportunities for positive impact?",CET
274,Legal and Regulatory Compliance,CET
275,"a. What legal opinions, if any, have you received regarding deployment of your solution?",CET
276," b. What permits or other forms of formal permission do you require, if any, to engage in the research or
 deployment of your project? What else might be required in the future as you scale? Please clearly
 differentiate between what you have already obtained, what you are currently in the process of obtaining,
 and what you know you’ll need to obtain in the future but have not yet begun the process to do so.",CET
277," c. Is your solution potentially subject to regulation under any international legal regimes? If yes, please
 specify. Have you engaged with these regimes to date?",CET
278," d. In what areas are you uncertain about the legal or regulatory frameworks you’ll need to comply with? This
 could include anything from local governance to international treaties. For some types of projects, we
 recognize that clear regulatory guidance may not yet exist.",CET
279," e. Do you intend to receive any tax credits during the proposed delivery window for Frontier’s purchase?  If
 so, please explain how you will avoid double counting.",CET
280,Offer to Frontier,CET
281,"This table constitutes your offer to Frontier, and will form the basis of contract discussions if you are selected for
 purchase",CET
282," Proposed CDR over the project lifetime (tonnes) (should be net volume after taking into account the uncertainty 
discount proposed in 4(c))",CET
283, Delivery window (at what point should Frontier consider your contract complete? Should match 1(f)),CET
284,Levelized Price ($/metric tonne CO₂) (This is the price per tonne of your offer to us for the tonnage described above),CET
285," Application Supplement: Surface Mineralization and/or Enhanced Weathering
 (Only fill out this supplement if it applies to you)",CET
286,Source Material and Physical Footprint,CET
287,"1. What source material are you using, and how do you procure it?",CET
288,"2. Describe the ecological impacts of obtaining your source material. Is there an existing industry that
 co-produces the minerals required?",CET
289,"3. Do you process that source mineral in any way (e.g., grinding to increase surface area)? What inputs does
 this processing require (e.g. water, energy)? You should have already included their associated carbon
 intensities in your LCA in Section 3.",CET
290,"4. Please fill out the table below regarding your project’s physical footprint. If you don’t know (e.g. you
 procure your source material from a mining company who doesn’t communicate their physical footprint),
 indicate that in the table below.
(Source, Land area (km2) in 2021, Competing/existing project area use (if applicable))",CET
291,Source material mining,CET
292,Source material processing,CET
293,Deployment,CET
294," 5. How much CDR is feasible globally per year using this approach? Please include a reference to support
 this potential capacity.",CET
295," 6. If you weren’t proceeding with this project, what’s the alternative use(s) of your source material? What
 factors would determine this outcome?",CET
296," Human and Ecosystem Impacts, Toxicity Risk",CET
297,"1. What are the estimated environmental release rates of heavy metals (e.g. Cr, Ni, Pb, Hg)? Dust aerosol
 hazards? P loading to streams? How will this be monitored?",CET
298,"2. If minerals are deployed on croplands, what are the estimated effects on crop yields? Include citations to
 support this claim. How will actual effects be monitored?",CET
299,"3. How will you monitor potential impacts on organisms in your deployment environment? (e.g. health of
 humans working in agricultural contexts, health of intertidal species, etc.)",CET
